CDIVLS,URBRURS,WKTIME,MILEBIN,AVGDIST,NRAW,NWTD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ENC,RUR,WEEKDAY,0-2,0.925071339796,4023.0,1138171566.56,710299.944479,5057.70958919,31385.2448388,917235.364286,2433565.92049,9438981.28839,29795778.3448,74160361.1635,68570408.0757,70973382.3032,81031781.8769,114074181.254,127880753.619,93426653.4749,76469633.0092,100136599.576,101138868.082,70173400.1747,50314676.8073,29593306.0166,21904267.805,8608168.44421,4121299.05762,2261522.00387
ENC,RUR,WEEKDAY,2-5,3.41002504981,3513.0,1206379873.74,709983.080385,1083061.22893,632914.4444,286830.224364,4050610.86806,9818583.34136,40276001.4458,109922397.471,62243494.8967,86234029.6601,77200326.3738,85058628.5299,93772478.0248,79161494.5021,94767060.768,112498678.841,103526881.445,96541454.3204,69159822.1531,34192958.858,24347896.419,11625082.9753,6657862.68548,2611341.18304
ENC,RUR,WEEKDAY,5-10,7.25138778186,3814.0,1175053562.19,1327278.89867,1164241.01248,324780.599693,176192.275523,8210476.90742,20365893.0386,53762200.3558,129981303.902,73328736.0677,74784766.0455,65782331.0453,80515901.0878,75688435.3539,70533354.8789,78925581.9887,96213950.5708,118902599.767,91855010.4332,53315244.9995,37434633.7517,18656339.3635,15853579.6591,5252651.84524,2698078.34243
ENC,RUR,WEEKDAY,10-20,14.3399798775,3429.0,1189581903.56,4683479.56759,456224.798586,1043674.43121,896711.11945,13605406.9515,45010013.9882,80077848.1157,120795862.183,76419096.5879,59284857.408,63557029.1401,62876428.1147,62182182.7488,61065028.0948,87429297.2649,106945399.43,113820795.349,101542372.934,44742790.0842,28325182.6434,24921557.6735,14043643.0512,8861282.28838,6995739.5924
ENC,RUR,WEEKDAY,20-30,24.1358320493,1298.0,419165821.656,2711539.53794,290604.154319,1109011.61422,1009179.73131,8396797.43599,19906608.4001,40473880.6831,37323149.0603,22074523.8232,21233116.8366,20558030.5819,18035106.2429,20974621.573,26318233.214,24202201.3586,39428496.7087,43052127.2066,37045294.0668,11930586.5995,6996658.81849,4640259.48879,3994145.38519,2639924.19836,4821724.93629
ENC,RUR,WEEKDAY,30-50,37.8542900485,824.0,274988441.192,243625.717681,76862.6899681,136082.947116,2344860.01545,9413117.24319,23940200.8039,29535320.5945,22267443.2662,14643001.0953,14277427.1692,10056668.8216,11174650.4356,11340267.9597,16108836.3807,17099508.648,18721299.7325,32199534.3617,18095585.3987,8087257.24284,4432590.31243,3684839.86316,4444098.30825,2226102.94138,439259.242964
ENC,RUR,WEEKDAY,50-100,67.2206546961,362.0,107624662.858,80304.1528886,232298.529623,138109.005067,199897.881089,3883717.49544,5110948.79203,9893820.33049,5278418.65329,5758116.16313,6900379.73976,3722651.81794,10123038.7263,5262177.94977,6121264.02612,7269661.16372,9595695.59542,13813441.7678,7154780.15086,3604986.19755,1600586.49722,432255.697291,410257.681866,626745.387215,411109.456144
ENC,RUR,WEEKDAY,100-300,156.941637681,138.0,41174120.1542,0.0,1475691.52432,0.0,106083.807085,1484696.69258,1197759.98552,3452349.21179,2425857.10854,2717844.87918,3716755.51927,2172490.70839,3173969.65939,4409129.50923,4409973.85053,2833930.52163,2628807.57632,1108331.9725,2685306.24597,700779.586827,101317.864868,232945.613082,70218.6853137,69879.6318358,0.0
ENC,RUR,WEEKEND,0-2,0.943834019204,729.0,325132197.184,31270.1648392,841812.764405,4161.11251456,0.0,743034.115874,1851035.04473,3328911.71819,8146786.96885,17216921.2752,28313224.5094,29407394.009,35371529.5468,29404801.9914,28561533.179,26832146.5491,21605283.2072,16368498.2416,15471801.2219,23245972.8822,18007558.8434,9577697.88356,4617087.26848,3767040.21945,2416694.46682
ENC,RUR,WEEKEND,2-5,3.41388095238,756.0,417876859.128,2677151.34391,591981.430695,0.0,568102.431208,832649.909193,1518347.16464,8162821.72874,14716642.2238,27792969.5083,33644685.5653,29793836.8047,30982300.0825,38240794.2023,31356976.8282,25229324.8684,27630052.8781,22885424.1113,30472726.3027,30826965.9436,25398014.9947,14632979.3917,12989368.1109,4119737.56635,2813005.73674
ENC,RUR,WEEKEND,5-10,7.14535094851,738.0,417758239.673,1542961.17061,587742.798029,36678.8422229,13516.6995455,240546.307846,4367850.55451,6598828.11989,14837276.7357,28213338.5338,33502179.5597,30114255.0691,40211058.1741,38594941.6359,28669011.2565,23538950.5184,31114349.8613,23816940.3053,26867288.7979,28050720.0071,22008743.1658,11966796.4148,10883401.732,6159682.75892,5821180.65409
ENC,RUR,WEEKEND,10-20,13.8628370703,669.0,368865244.143,2058954.76995,456767.640804,354726.720479,1373205.35767,2824275.18087,4144183.41039,6257729.41738,11865827.0661,22546643.4194,26681574.7788,28937249.578,24331382.7581,30726454.125,29354081.6657,27836016.5147,24367642.7657,21055830.5616,20428771.5994,26599723.6048,15823311.1166,13093709.4896,15916707.5555,8739929.06263,3090545.98397
ENC,RUR,WEEKEND,20-30,24.5003466667,225.0,143134313.327,55091.4723999,95887.810684,22527.8812733,82120.6952706,1422949.0359,1037756.75773,4167650.61348,5301732.145,5998810.18796,8381076.38711,10792920.8003,11435745.0796,6885523.86213,8792022.62523,10462341.0252,7972111.964,15454810.1861,10711990.4469,11212856.016,5411467.83892,8120699.22635,5011568.98421,3247793.6407,1056858.6445
